iter	Passed	Remaining
0	62	62226
1	63	31484
2	64	21271
3	64	16122
4	65	13035
5	66	10972
6	66	9499
7	67	8393
8	69	7600
9	69	6909
10	70	6340
11	71	5873
12	72	5477
13	72	5132
14	73	4844
15	74	4606
16	75	4386
17	76	4187
18	77	4008
19	78	3846
20	79	3701
21	82	3657
22	83	3534
23	84	3429
24	87	3393
25	87	3287
26	88	3188
27	89	3100
28	90	3013
29	91	2943
30	91	2871
31	92	2805
32	93	2750
33	94	2689
34	95	2629
35	95	2570
36	96	2520
37	97	2473
38	98	2425
39	99	2381
40	99	2337
41	100	2295
42	101	2254
43	101	2215
44	102	2180
45	103	2145
46	104	2113
47	104	2081
48	105	2053
49	106	2024
50	107	1995
51	107	1966
52	108	1938
53	109	1911
54	109	1886
55	110	1862
56	111	1839
57	111	1816
58	112	1793
59	113	1773
60	113	1753
61	114	1734
62	115	1715
63	115	1696
64	116	1677
65	117	1660
66	118	1643
67	118	1626
68	119	1610
69	120	1595
70	120	1580
71	121	1564
72	122	1550
73	122	1535
74	124	1531
75	124	1518
76	125	1505
77	126	1493
78	127	1481
79	127	1469
80	128	1458
81	129	1446
82	129	1432
83	130	1420
84	130	1409
85	131	1399
86	132	1388
87	133	1378
88	133	1368
89	134	1359
90	135	1350
91	135	1341
92	136	1333
93	137	1323
94	138	1317
95	139	1308
96	139	1300
97	140	1292
98	141	1283
99	141	1275
100	142	1267
101	143	1260
102	143	1253
103	144	1246
104	145	1239
105	146	1232
106	146	1225
107	147	1217
108	148	1211
109	148	1205
110	149	1198
111	150	1191
112	150	1185
113	151	1179
114	152	1172
115	153	1168
116	153	1161
117	154	1158
118	155	1154
119	156	1150
120	157	1147
121	158	1141
122	159	1134
123	159	1128
124	160	1123
125	161	1117
126	161	1111
127	162	1105
128	163	1100
129	163	1095
130	164	1091
131	165	1086
132	165	1081
133	166	1077
134	167	1071
135	167	1066
136	168	1061
137	169	1057
138	169	1052
139	170	1048
140	171	1044
141	171	1037
142	172	1033
143	173	1028
144	173	1024
145	174	1020
146	175	1015
147	175	1011
148	176	1007
149	177	1003
150	177	1000
151	178	996
152	179	992
153	180	990
154	180	986
155	181	982
156	182	980
157	183	977
158	184	973
159	184	970
160	185	965
161	186	962
162	186	958
163	187	955
164	188	951
165	188	948
166	189	944
167	190	941
168	190	938
169	191	935
170	192	932
171	193	929
172	193	925
173	194	922
174	195	919
175	195	916
176	196	913
177	196	909
178	197	906
179	198	903
180	199	900
181	199	897
182	200	894
183	201	892
184	201	889
185	202	886
186	203	883
187	203	880
188	204	878
189	205	875
190	206	872
191	206	870
192	207	867
193	208	864
194	208	862
195	209	860
196	210	857
197	210	854
198	211	852
199	212	850
200	213	847
201	213	844
202	214	841
203	215	839
204	215	836
205	216	833
206	216	830
207	217	827
208	217	824
209	218	821
210	218	817
211	219	815
212	219	812
213	220	810
214	221	807
215	221	804
216	222	801
217	222	799
218	223	797
219	224	794
220	224	792
221	225	789
222	226	787
223	226	785
224	227	783
225	228	781
226	228	778
227	229	776
228	229	773
229	230	771
230	231	769
231	231	766
232	232	764
233	232	762
234	233	759
235	233	757
236	234	754
237	234	751
238	235	749
239	235	747
240	236	745
241	237	743
242	237	741
243	238	738
244	238	736
245	239	734
246	240	732
247	240	730
248	241	728
249	242	726
250	242	724
251	243	722
252	243	720
253	244	718
254	245	715
255	245	714
256	246	712
257	246	710
258	247	708
259	248	706
260	248	704
261	249	702
262	249	700
263	250	698
264	251	696
265	251	694
266	252	693
267	252	690
268	253	688
269	254	686
270	254	684
271	255	683
272	255	681
273	256	679
274	257	678
275	257	676
276	258	674
277	259	673
278	259	671
279	260	670
280	261	668
281	261	666
282	262	665
283	263	663
284	263	661
285	264	659
286	264	657
287	265	656
288	266	654
289	266	653
290	267	651
291	268	649
292	268	648
293	269	646
294	269	645
295	270	643
296	271	641
297	271	640
298	272	638
299	272	636
300	273	635
301	274	633
302	274	632
303	275	631
304	276	629
305	277	628
306	277	627
307	278	625
308	278	623
309	279	622
310	280	620
311	280	619
312	281	617
313	281	616
314	282	614
315	283	613
316	283	611
317	284	610
318	285	608
319	285	607
320	286	605
321	286	604
322	287	602
323	288	601
324	288	599
325	289	598
326	290	597
327	290	595
328	291	594
329	292	592
330	292	591
331	293	589
332	293	588
333	294	586
334	294	585
335	295	583
336	295	581
337	296	580
338	296	578
339	297	577
340	297	575
341	298	574
342	298	572
343	299	570
344	299	569
345	300	568
346	301	566
347	301	565
348	302	563
349	302	562
350	303	560
351	303	559
352	304	557
353	305	556
354	305	555
355	306	553
356	306	552
357	307	551
358	308	549
359	308	548
360	309	547
361	310	546
362	310	545
363	311	544
364	312	543
365	312	541
366	313	540
367	314	539
368	314	538
369	315	537
370	316	536
371	317	535
372	318	534
373	318	533
374	319	532
375	320	531
376	320	530
377	321	528
378	322	527
379	322	526
380	323	525
381	323	523
382	324	522
383	325	521
384	325	520
385	326	518
386	326	517
387	327	516
388	327	514
389	328	513
390	328	512
391	329	511
392	330	510
393	331	509
394	331	508
395	332	506
396	332	505
397	333	504
398	334	503
399	334	502
400	335	500
401	335	499
402	336	498
403	336	496
404	337	495
405	337	494
406	338	493
407	338	491
408	339	490
409	340	489
410	340	488
411	341	487
412	341	486
413	342	484
414	343	483
415	343	482
416	344	481
417	344	480
418	345	478
419	345	477
420	346	476
421	347	475
422	347	474
423	348	472
424	348	471
425	349	470
426	349	469
427	350	468
428	350	466
429	351	465
430	351	464
