iter	Passed	Remaining
0	55	55393
1	56	28071
2	57	19049
3	57	14432
4	58	11670
5	59	9828
6	59	8505
7	60	7520
8	61	6752
9	61	6129
10	62	5619
11	63	5201
12	63	4844
13	64	4544
14	65	4280
15	65	4056
16	66	3854
17	67	3676
18	68	3511
19	68	3365
20	69	3233
21	70	3111
22	70	3000
23	71	2900
24	72	2808
25	72	2720
26	73	2639
27	73	2562
28	74	2491
29	75	2427
30	75	2366
31	76	2311
32	77	2256
33	77	2208
34	78	2160
35	79	2116
36	79	2072
37	80	2031
38	80	1991
39	81	1956
40	82	1926
41	83	1894
42	83	1863
43	84	1835
44	85	1805
45	85	1780
46	86	1754
47	87	1731
48	87	1707
49	88	1684
50	89	1663
51	90	1641
52	90	1620
53	91	1600
54	92	1581
55	92	1562
56	93	1543
57	93	1525
58	94	1507
59	95	1490
60	95	1473
61	96	1459
62	97	1444
63	97	1429
64	98	1415
65	99	1401
66	99	1387
67	99	1370
68	100	1358
69	101	1346
70	101	1333
71	102	1322
72	103	1312
73	103	1301
74	104	1290
75	105	1281
76	106	1273
77	106	1264
78	107	1255
79	108	1245
80	108	1236
81	109	1226
82	110	1217
83	110	1209
84	111	1197
85	111	1188
86	112	1177
87	112	1169
88	113	1160
89	114	1153
90	114	1147
91	115	1139
92	116	1132
93	116	1125
94	117	1117
95	118	1111
96	118	1104
97	119	1097
98	119	1090
99	120	1083
100	120	1076
101	121	1067
102	121	1060
103	122	1054
104	122	1048
105	123	1041
106	124	1035
107	124	1029
108	125	1024
109	126	1019
110	126	1014
111	127	1008
112	127	1002
113	128	996
114	128	992
115	129	986
116	129	981
117	130	976
118	131	970
119	131	965
120	132	960
121	132	956
122	133	949
123	133	944
124	134	939
125	134	935
126	135	931
127	135	925
128	136	921
129	137	917
130	137	913
131	138	909
132	138	904
133	139	900
134	139	896
135	140	892
136	141	888
137	141	883
138	142	880
139	142	876
140	143	872
141	143	868
142	144	865
143	144	861
144	145	858
145	146	855
146	146	852
147	147	848
148	148	845
149	148	842
150	149	839
151	149	835
152	150	832
153	151	830
154	151	827
155	152	823
156	152	820
157	153	817
158	154	814
159	154	812
160	155	809
161	155	806
162	156	803
163	157	800
